Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Firefox 66.0,,2019-05-03 00:11:00,2019-05-03 00:14:21,3m - 21.588s,FAILED
,,,,,,
Test Cases/addPost,Firefox 66.0,,2019-05-03 00:11:00,2019-05-03 00:11:12,11.703s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-03 00:11:00,2019-05-03 00:11:04,3.641s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 00:11:04,2019-05-03 00:11:05,0.444s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (2)""), ""kulisse6"")",Firefox 66.0,,2019-05-03 00:11:05,2019-05-03 00:11:05,0.105s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (2)""), ""3pybmnes8qQ="")",Firefox 66.0,,2019-05-03 00:11:05,2019-05-03 00:11:05,0.107s,PASSED
"click(findTestObject(""1/button_Login""))",Firefox 66.0,,2019-05-03 00:11:05,2019-05-03 00:11:06,1.245s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Welcome_password (2) (4)""), Keys.chord(ENTER))",Firefox 66.0,,2019-05-03 00:11:06,2019-05-03 00:11:06,0.004s,NOT_RUN
"click(findTestObject(""Object Repository/a_Hardware        Le physique (3)""))",Firefox 66.0,,2019-05-03 00:11:06,2019-05-03 00:11:07,1.320s,PASSED
"setText(findTestObject(""Page_My subforum/input_Title_name""), ""testTopic"")",Firefox 66.0,,2019-05-03 00:11:07,2019-05-03 00:11:07,0.066s,PASSED
"click(findTestObject(""Page_My subforum/p_Mon bon topic de test""))",Firefox 66.0,,2019-05-03 00:11:07,2019-05-03 00:11:08,0.266s,PASSED
"setText(findTestObject(""Page_My subforum/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Firefox 66.0,,2019-05-03 00:11:08,2019-05-03 00:11:08,0.102s,PASSED
"click(findTestObject(""Page_My subforum/button_Submit""))",Firefox 66.0,,2019-05-03 00:11:08,2019-05-03 00:11:09,1.614s,PASSED
"click(findTestObject(""Object Repository/a_testTopic (4)""))",Firefox 66.0,,2019-05-03 00:11:09,2019-05-03 00:11:10,0.957s,PASSED
