Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Chrome 74.0.3729.131,,2019-05-02 23:37:20,2019-05-02 23:41:06,3m - 46.198s,FAILED
,,,,,,
Test Cases/addPost,Chrome 74.0.3729.131,,2019-05-02 23:37:21,2019-05-02 23:37:37,15.745s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:37:22,2019-05-02 23:37:29,7.278s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:37:29,2019-05-02 23:37:30,0.781s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (2)""), ""user6"")",Chrome 74.0.3729.131,,2019-05-02 23:37:30,2019-05-02 23:37:30,0.273s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (2)""), ""OfYSgXUfG6A="")",Chrome 74.0.3729.131,,2019-05-02 23:37:30,2019-05-02 23:37:30,0.241s,PASSED
"click(findTestObject(""1/button_Login""))",Chrome 74.0.3729.131,,2019-05-02 23:37:30,2019-05-02 23:37:31,1.332s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Welcome_password (2) (4)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 23:37:31,2019-05-02 23:37:32,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/a_Hardware        Le physique (3)""))",Chrome 74.0.3729.131,,2019-05-02 23:37:32,2019-05-02 23:37:33,1.107s,PASSED
"setText(findTestObject(""Page_My subforum/input_Title_name""), ""testTopic"")",Chrome 74.0.3729.131,,2019-05-02 23:37:33,2019-05-02 23:37:33,0.257s,PASSED
"click(findTestObject(""Page_My subforum/p_Mon bon topic de test""))",Chrome 74.0.3729.131,,2019-05-02 23:37:33,2019-05-02 23:37:33,0.114s,PASSED
"setText(findTestObject(""Page_My subforum/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Chrome 74.0.3729.131,,2019-05-02 23:37:33,2019-05-02 23:37:33,0.419s,PASSED
"click(findTestObject(""Page_My subforum/button_Submit""))",Chrome 74.0.3729.131,,2019-05-02 23:37:33,2019-05-02 23:37:34,0.966s,PASSED
"click(findTestObject(""Object Repository/a_testTopic (4)""))",Chrome 74.0.3729.131,,2019-05-02 23:37:34,2019-05-02 23:37:35,0.715s,PASSED
"navigateToUrl(""http://localhost:8080/logout"")",Chrome 74.0.3729.131,,2019-05-02 23:37:35,2019-05-02 23:37:36,0.487s,PASSED
closeBrowser(),Chrome 74.0.3729.131,,2019-05-02 23:37:36,2019-05-02 23:37:37,1.050s,PASSED
,,,,,,
Test Cases/addPostNoMessage,Chrome 74.0.3729.131,,2019-05-02 23:37:37,2019-05-02 23:38:18,41.130s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:37:37,2019-05-02 23:37:41,3.802s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:37:41,2019-05-02 23:37:41,0.304s,PASSED
