Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Chrome 74.0.3729.131,,2019-05-02 23:26:39,2019-05-02 23:30:14,3m - 34.670s,FAILED
,,,,,,
Test Cases/addPost,Chrome 74.0.3729.131,,2019-05-02 23:26:39,2019-05-02 23:26:54,14.426s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:26:40,2019-05-02 23:26:46,6.648s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:26:46,2019-05-02 23:26:48,1.277s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (2)""), ""user5"")",Chrome 74.0.3729.131,,2019-05-02 23:26:48,2019-05-02 23:26:48,0.179s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (2)""), ""qv7Bl7A+3u0="")",Chrome 74.0.3729.131,,2019-05-02 23:26:48,2019-05-02 23:26:48,0.170s,PASSED
"click(findTestObject(""1/button_Login""))",Chrome 74.0.3729.131,,2019-05-02 23:26:48,2019-05-02 23:26:49,1.125s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Welcome_password (2) (4)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 23:26:49,2019-05-02 23:26:49,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/a_Hardware        Le physique (3)""))",Chrome 74.0.3729.131,,2019-05-02 23:26:49,2019-05-02 23:26:51,1.736s,PASSED
"setText(findTestObject(""Page_My subforum/input_Title_name""), ""testTopic"")",Chrome 74.0.3729.131,,2019-05-02 23:26:51,2019-05-02 23:26:51,0.190s,PASSED
"click(findTestObject(""Page_My subforum/p_Mon bon topic de test""))",Chrome 74.0.3729.131,,2019-05-02 23:26:51,2019-05-02 23:26:51,0.100s,PASSED
"setText(findTestObject(""Page_My subforum/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Chrome 74.0.3729.131,,2019-05-02 23:26:51,2019-05-02 23:26:52,0.326s,PASSED
"click(findTestObject(""Page_My subforum/button_Submit""))",Chrome 74.0.3729.131,,2019-05-02 23:26:52,2019-05-02 23:26:52,0.910s,PASSED
"click(findTestObject(""Object Repository/a_testTopic (4)""))",Chrome 74.0.3729.131,,2019-05-02 23:26:52,2019-05-02 23:26:53,0.660s,PASSED
"click(findTestObject(""Object Repository/span_HardForum_navbar-toggler-icon""))",Chrome 74.0.3729.131,,2019-05-02 23:26:53,2019-05-02 23:26:53,0.080s,PASSED
"click(findTestObject(""Object Repository/a_Logout""))",Chrome 74.0.3729.131,,2019-05-02 23:26:53,2019-05-02 23:26:54,0.417s,FAILED
,,,,,,
Test Cases/addTopic,Chrome 74.0.3729.131,,2019-05-02 23:26:54,2019-05-02 23:27:05,11.588s,FAILED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:26:54,2019-05-02 23:26:59,4.705s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:26:59,2019-05-02 23:26:59,0.297s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_name (3)""), ""user5"")",Chrome 74.0.3729.131,,2019-05-02 23:26:59,2019-05-02 23:26:59,0.140s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (3)""), ""qv7Bl7A+3u0="")",Chrome 74.0.3729.131,,2019-05-02 23:26:59,2019-05-02 23:26:59,0.097s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (3)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 23:26:59,2019-05-02 23:26:59,0.001s,NOT_RUN
"click(findTestObject(""1/button_Login""))",Chrome 74.0.3729.131,,2019-05-02 23:26:59,2019-05-02 23:27:00,1.002s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/div_Hardware""))",Chrome 74.0.3729.131,,2019-05-02 23:27:00,2019-05-02 23:27:02,1.392s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/h5_testTopic""))",Chrome 74.0.3729.131,,2019-05-02 23:27:02,2019-05-02 23:27:02,0.789s,PASSED
