Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Chrome 74.0.3729.131,,2019-05-02 22:23:38,2019-05-02 22:25:47,2m - 8.281s,ERROR
,,,,,,
Test Cases/addPost,Chrome 74.0.3729.131,,2019-05-02 22:23:39,2019-05-02 22:23:47,8.583s,ERROR
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 22:23:39,2019-05-02 22:23:46,6.961s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 22:23:46,2019-05-02 22:23:47,0.550s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_name (2)""), ""testCase"")",Chrome 74.0.3729.131,,2019-05-02 22:23:47,2019-05-02 22:23:47,0.217s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (2)""), ""k5M9B2M38/NbP4F7W5R/fg=="")",Chrome 74.0.3729.131,,2019-05-02 22:23:47,2019-05-02 22:23:47,0.227s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (2)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 22:23:47,2019-05-02 22:23:47,0.026s,ERROR
,,,,,,
Test Cases/addTopic,Chrome 74.0.3729.131,,2019-05-02 22:23:47,2019-05-02 22:23:54,6.178s,ERROR
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 22:23:48,2019-05-02 22:23:53,4.923s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 22:23:53,2019-05-02 22:23:53,0.521s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_name (3)""), ""testCase"")",Chrome 74.0.3729.131,,2019-05-02 22:23:53,2019-05-02 22:23:53,0.167s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (3)""), ""k5M9B2M38/NbP4F7W5R/fg=="")",Chrome 74.0.3729.131,,2019-05-02 22:23:53,2019-05-02 22:23:54,0.138s,PASSED
