Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Chrome 74.0.3729.131,,2019-05-02 23:12:46,2019-05-02 23:16:02,3m - 16.423s,FAILED
,,,,,,
Test Cases/addPost,Chrome 74.0.3729.131,,2019-05-02 23:12:46,2019-05-02 23:12:59,13.101s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:12:47,2019-05-02 23:12:53,6.617s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:12:53,2019-05-02 23:12:54,0.499s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_name (2)""), ""user4"")",Chrome 74.0.3729.131,,2019-05-02 23:12:54,2019-05-02 23:12:54,0.227s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (2)""), ""6c7NgI6EUIg="")",Chrome 74.0.3729.131,,2019-05-02 23:12:54,2019-05-02 23:12:54,0.179s,PASSED
"click(findTestObject(""1/button_Login""))",Chrome 74.0.3729.131,,2019-05-02 23:12:54,2019-05-02 23:12:55,1.302s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (2)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 23:12:55,2019-05-02 23:12:55,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/a_Hardware        Le physique""))",Chrome 74.0.3729.131,,2019-05-02 23:12:55,2019-05-02 23:12:57,1.402s,PASSED
"setText(findTestObject(""Object Repository/Page_My subforum/input_Title_name""), ""testTopic"")",Chrome 74.0.3729.131,,2019-05-02 23:12:57,2019-05-02 23:12:57,0.184s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/p_Mon bon topic de test""))",Chrome 74.0.3729.131,,2019-05-02 23:12:57,2019-05-02 23:12:57,0.094s,PASSED
"setText(findTestObject(""Object Repository/Page_My subforum/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Chrome 74.0.3729.131,,2019-05-02 23:12:57,2019-05-02 23:12:58,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/button_Submit""))",Chrome 74.0.3729.131,,2019-05-02 23:12:58,2019-05-02 23:12:59,1.028s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/a_testTopic""))",Chrome 74.0.3729.131,,2019-05-02 23:12:59,2019-05-02 23:12:59,0.694s,PASSED
,,,,,,
Test Cases/addTopic,Chrome 74.0.3729.131,,2019-05-02 23:12:59,2019-05-02 23:13:10,11.057s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:13:00,2019-05-02 23:13:04,4.839s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Chrome 74.0.3729.131,,2019-05-02 23:13:04,2019-05-02 23:13:05,0.370s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_name (3)""), ""user4"")",Chrome 74.0.3729.131,,2019-05-02 23:13:05,2019-05-02 23:13:05,0.172s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (3)""), ""6c7NgI6EUIg="")",Chrome 74.0.3729.131,,2019-05-02 23:13:05,2019-05-02 23:13:05,0.111s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Welcome_password (3)""), Keys.chord(ENTER))",Chrome 74.0.3729.131,,2019-05-02 23:13:05,2019-05-02 23:13:05,0.001s,NOT_RUN
"click(findTestObject(""1/button_Login""))",Chrome 74.0.3729.131,,2019-05-02 23:13:05,2019-05-02 23:13:06,1.012s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/div_Hardware""))",Chrome 74.0.3729.131,,2019-05-02 23:13:06,2019-05-02 23:13:07,0.979s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/h5_testTopic""))",Chrome 74.0.3729.131,,2019-05-02 23:13:07,2019-05-02 23:13:08,0.767s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Title_title""), ""Test Post"")",Chrome 74.0.3729.131,,2019-05-02 23:13:08,2019-05-02 23:13:08,0.222s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/p""))",Chrome 74.0.3729.131,,2019-05-02 23:13:08,2019-05-02 23:13:08,0.080s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/div_post content""), ""<p style="""">post content </p>"")",Chrome 74.0.3729.131,,2019-05-02 23:13:08,2019-05-02 23:13:08,0.298s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/div_post content dwdwad""), ""<h1 style="""">post content dw</h1><p style="""">dwad</p>"")",Chrome 74.0.3729.131,,2019-05-02 23:13:08,2019-05-02 23:13:09,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/button_Submit""))",Chrome 74.0.3729.131,,2019-05-02 23:13:09,2019-05-02 23:13:10,1.351s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/h4_Test Post""))",Chrome 74.0.3729.131,,2019-05-02 23:13:10,2019-05-02 23:13:10,0.078s,PASSED
,,,,,,
Test Cases/alreadyRegisteredUser,Chrome 74.0.3729.131,,2019-05-02 23:13:10,2019-05-02 23:13:16,6.060s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:13:10,2019-05-02 23:13:15,4.824s,PASSED
"navigateToUrl(""http://localhost:8080/registration"")",Chrome 74.0.3729.131,,2019-05-02 23:13:15,2019-05-02 23:13:16,0.325s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration Form/input_Registration Form_name""), ""testCase"")",Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:16,0.182s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration Form/input_Registration Form_email""), ""test@mail.com"")",Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:16,0.152s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Registration Form/input_Registration Form_password""), ""k5M9B2M38/NbP4F7W5R/fg=="")",Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:16,0.120s,PASSED
"click(findTestObject(""Object Repository/Page_Registration Form/button_Register User""))",Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:16,0.179s,PASSED
"click(findTestObject(""Object Repository/Page_Registration Form/label_There is already a user registered with the name provided""))",Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:16,0.074s,PASSED
,,,,,,
Test Cases/LoginNotRegistered,Chrome 74.0.3729.131,,2019-05-02 23:13:16,2019-05-02 23:13:22,5.951s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-02 23:13:17,2019-05-02 23:13:21,4.769s,PASSED
