Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
katalonTest,Firefox 66.0,,2019-05-03 01:47:13,2019-05-03 01:49:45,2m - 31.655s,FAILED
,,,,,,
Test Cases/addPost,Firefox 66.0,,2019-05-03 01:47:14,2019-05-03 01:47:26,11.980s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-03 01:47:14,2019-05-03 01:47:18,4.281s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 01:47:18,2019-05-03 01:47:19,0.791s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (2)""), ""kulisse8"")",Firefox 66.0,,2019-05-03 01:47:19,2019-05-03 01:47:19,0.110s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (2)""), ""3pybmnes8qQ="")",Firefox 66.0,,2019-05-03 01:47:19,2019-05-03 01:47:19,0.112s,PASSED
"click(findTestObject(""1/button_Login""))",Firefox 66.0,,2019-05-03 01:47:19,2019-05-03 01:47:21,1.350s,PASSED
"sendKeys(findTestObject(""Object Repository/input_Welcome_password (2) (4)""), Keys.chord(ENTER))",Firefox 66.0,,2019-05-03 01:47:21,2019-05-03 01:47:21,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/a_Hardware        Le physique (3)""))",Firefox 66.0,,2019-05-03 01:47:21,2019-05-03 01:47:22,1.154s,PASSED
"setText(findTestObject(""Page_My subforum/input_Title_name""), ""testTopic"")",Firefox 66.0,,2019-05-03 01:47:22,2019-05-03 01:47:22,0.071s,PASSED
"click(findTestObject(""Page_My subforum/p_Mon bon topic de test""))",Firefox 66.0,,2019-05-03 01:47:22,2019-05-03 01:47:22,0.266s,PASSED
"setText(findTestObject(""Page_My subforum/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Firefox 66.0,,2019-05-03 01:47:22,2019-05-03 01:47:22,0.100s,PASSED
"click(findTestObject(""Page_My subforum/button_Submit""))",Firefox 66.0,,2019-05-03 01:47:22,2019-05-03 01:47:23,1.140s,PASSED
"click(findTestObject(""Object Repository/a_testTopic (4)""))",Firefox 66.0,,2019-05-03 01:47:23,2019-05-03 01:47:24,0.876s,PASSED
"navigateToUrl(""http://localhost:8080/logout"")",Firefox 66.0,,2019-05-03 01:47:24,2019-05-03 01:47:25,0.747s,PASSED
closeBrowser(),Firefox 66.0,,2019-05-03 01:47:25,2019-05-03 01:47:26,0.661s,PASSED
,,,,,,
Test Cases/addPostNoMessage,Firefox 66.0,,2019-05-03 01:47:26,2019-05-03 01:47:36,9.981s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-03 01:47:26,2019-05-03 01:47:28,2.328s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 01:47:28,2019-05-03 01:47:29,0.357s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (2)""), ""kulisse8"")",Firefox 66.0,,2019-05-03 01:47:29,2019-05-03 01:47:29,0.078s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (2)""), ""3pybmnes8qQ="")",Firefox 66.0,,2019-05-03 01:47:29,2019-05-03 01:47:29,0.042s,PASSED
"click(findTestObject(""1/button_Login""))",Firefox 66.0,,2019-05-03 01:47:29,2019-05-03 01:47:30,1.239s,PASSED
"sendKeys(findTestObject(""Object Repository/Object Repository/input_Welcome_password (2) (3)""), Keys.chord(ENTER))",Firefox 66.0,,2019-05-03 01:47:30,2019-05-03 01:47:30,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Object Repository/a_Hardware        Le physique (2)""))",Firefox 66.0,,2019-05-03 01:47:30,2019-05-03 01:47:31,1.015s,PASSED
"setText(findTestObject(""Object Repository/Object Repository/input_Title_name""), ""testTopic"")",Firefox 66.0,,2019-05-03 01:47:31,2019-05-03 01:47:31,0.071s,PASSED
"click(findTestObject(""Object Repository/Object Repository/p_Mon bon topic de test""))",Firefox 66.0,,2019-05-03 01:47:31,2019-05-03 01:47:31,0.273s,PASSED
"setText(findTestObject(""Object Repository/Object Repository/div_Mon bon topic de test""), ""<p style="""">Mon bon topic de test</p>"")",Firefox 66.0,,2019-05-03 01:47:31,2019-05-03 01:47:31,0.124s,PASSED
"click(findTestObject(""Object Repository/Object Repository/button_Submit (1)""))",Firefox 66.0,,2019-05-03 01:47:31,2019-05-03 01:47:33,1.478s,PASSED
"click(findTestObject(""Object Repository/Object Repository/a_testTopic (3)""))",Firefox 66.0,,2019-05-03 01:47:33,2019-05-03 01:47:34,0.865s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Title_title""), ""testTitle"")",Firefox 66.0,,2019-05-03 01:47:34,2019-05-03 01:47:34,0.099s,PASSED
url = getUrl(),Firefox 66.0,,2019-05-03 01:47:34,2019-05-03 01:47:34,0.014s,PASSED
"click(findTestObject(""Page_Spring Security Tutorial/button_Submit""))",Firefox 66.0,,2019-05-03 01:47:34,2019-05-03 01:47:34,0.242s,PASSED
assert url == getUrl(),Firefox 66.0,,2019-05-03 01:47:34,2019-05-03 01:47:34,0.009s,PASSED
"navigateToUrl(""http://localhost:8080/logout"")",Firefox 66.0,,2019-05-03 01:47:34,2019-05-03 01:47:35,0.724s,PASSED
closeBrowser(),Firefox 66.0,,2019-05-03 01:47:35,2019-05-03 01:47:36,0.753s,PASSED
,,,,,,
Test Cases/addSubForum,Firefox 66.0,,2019-05-03 01:47:36,2019-05-03 01:47:40,4.824s,FAILED
"openBrowser("""")",Firefox 66.0,,2019-05-03 01:47:36,2019-05-03 01:47:38,2.344s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 01:47:38,2019-05-03 01:47:39,0.380s,PASSED
"setText(findTestObject(""1/input_Welcome_name (1)""), ""kulisse8"")",Firefox 66.0,,2019-05-03 01:47:39,2019-05-03 01:47:39,0.067s,PASSED
"setEncryptedText(findTestObject(""1/input_Welcome_password (1)""), ""3pybmnes8qQ="")",Firefox 66.0,,2019-05-03 01:47:39,2019-05-03 01:47:39,0.038s,PASSED
"click(findTestObject(""1/button_Login (1)""))",Firefox 66.0,,2019-05-03 01:47:39,2019-05-03 01:47:40,1.302s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Category_name""), ""GPU"")",Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:40,0.064s,PASSED
"setText(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Description_description""), ""testCase"")",Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:40,0.057s,PASSED
"click(findTestObject(""Object Repository/Page_Spring Security Tutorial/input_Description_btn btn-primary col-5""))",Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:40,0.395s,PASSED
"categoryName = ""GPU""",Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:40,0.000s,PASSED
"assert getUrl() == ""http://localhost:8080/forum/"" + categoryName + ""/page/1""",Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:40,0.023s,FAILED
,,,,,,
Test Cases/addTopic,Firefox 66.0,,2019-05-03 01:47:40,2019-05-03 01:47:50,9.159s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-03 01:47:41,2019-05-03 01:47:44,2.938s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 01:47:44,2019-05-03 01:47:44,0.476s,PASSED
"setText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_name (3)""), ""kulisse8"")",Firefox 66.0,,2019-05-03 01:47:44,2019-05-03 01:47:44,0.067s,PASSED
"setEncryptedText(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (3)""), ""3pybmnes8qQ="")",Firefox 66.0,,2019-05-03 01:47:44,2019-05-03 01:47:44,0.043s,PASSED
"sendKeys(findTestObject(""Page_Spring Security Tutorial/input_Welcome_password (3)""), Keys.chord(ENTER))",Firefox 66.0,,2019-05-03 01:47:44,2019-05-03 01:47:44,0.001s,NOT_RUN
"click(findTestObject(""1/button_Login""))",Firefox 66.0,,2019-05-03 01:47:44,2019-05-03 01:47:45,1.225s,PASSED
"click(findTestObject(""Page_Spring Security Tutorial/div_Hardware""))",Firefox 66.0,,2019-05-03 01:47:45,2019-05-03 01:47:47,1.227s,PASSED
"setText(findTestObject(""Object Repository/Page_My subforum/input_Title_name""), ""title"")",Firefox 66.0,,2019-05-03 01:47:47,2019-05-03 01:47:47,0.059s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/p""))",Firefox 66.0,,2019-05-03 01:47:47,2019-05-03 01:47:47,0.259s,PASSED
"setText(findTestObject(""Object Repository/Page_My subforum/div_messageContent""), ""<p style="""">messageContent</p>"")",Firefox 66.0,,2019-05-03 01:47:47,2019-05-03 01:47:47,0.100s,PASSED
url = getUrl(),Firefox 66.0,,2019-05-03 01:47:47,2019-05-03 01:47:47,0.006s,PASSED
"click(findTestObject(""Object Repository/Page_My subforum/button_Submit""))",Firefox 66.0,,2019-05-03 01:47:47,2019-05-03 01:47:48,1.103s,PASSED
assert url != getUrl(),Firefox 66.0,,2019-05-03 01:47:48,2019-05-03 01:47:48,0.010s,PASSED
"navigateToUrl(""http://localhost:8080/logout"")",Firefox 66.0,,2019-05-03 01:47:48,2019-05-03 01:47:49,0.787s,PASSED
closeBrowser(),Firefox 66.0,,2019-05-03 01:47:49,2019-05-03 01:47:50,0.654s,PASSED
,,,,,,
Test Cases/advancedSearch,Firefox 66.0,,2019-05-03 01:47:50,2019-05-03 01:47:56,6.464s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-05-03 01:47:50,2019-05-03 01:47:52,2.349s,PASSED
"navigateToUrl(""http://localhost:8080/login"")",Firefox 66.0,,2019-05-03 01:47:52,2019-05-03 01:47:53,0.402s,PASSED
"click(findTestObject(""Object Repository/a_HardForum""))",Firefox 66.0,,2019-05-03 01:47:53,2019-05-03 01:47:54,1.085s,PASSED
"click(findTestObject(""Object Repository/a_Advanced search""))",Firefox 66.0,,2019-05-03 01:47:54,2019-05-03 01:47:54,0.298s,PASSED
"setText(findTestObject(""Object Repository/input_Author name_authorName""), ""kulisse6"")",Firefox 66.0,,2019-05-03 01:47:54,2019-05-03 01:47:54,0.064s,PASSED
"setText(findTestObject(""Object Repository/Page_Advanced Search/input_Topic name_topicName""), ""testTopic"")",Firefox 66.0,,2019-05-03 01:47:54,2019-05-03 01:47:54,0.052s,PASSED
"click(findTestObject(""Object Repository/input_Subforum_btn btn-primary col-5""))",Firefox 66.0,,2019-05-03 01:47:54,2019-05-03 01:47:54,0.227s,PASSED
"click(findTestObject(""Object Repository/h5_testTopic""))",Firefox 66.0,,2019-05-03 01:47:54,2019-05-03 01:47:55,1.065s,PASSED
